candidate,period,horizon,n,exceedances,mae,rmse,median_ae,bias,point_recall,point_precision,point_fpr,brier,brier_skill,auc,prob_recall,prob_precision,prob_fpr,alarms,interval80_coverage,level_substituted_fraction
v4r,2024,0,341,32,1.1388347759227042,2.3323188298837234,0.6524915982281776,0.15095277967569873,0.5,0.45714285714285713,0.061488673139158574,0.08556559691982593,-0.006235151237285574,0.8112864077669902,0.65625,0.38181818181818183,0.11003236245954692,55.0,0.6656891495601173,
naive_previous_lab,2024,0,341,32,1.7369501450893816,2.499765398283041,1.299999713897705,-0.009677426206750975,0.1875,0.1935483870967742,0.08090614886731391,,,,,,,,,0.0
anchored_q21,2024,0,341,32,1.1871268301182594,2.5140831184721106,0.702671885490421,0.1444811918285703,0.5,0.43243243243243246,0.06796116504854369,,,,,,,,,0.0
anchored_pak,2024,0,341,32,1.366688455923853,1.9057145984690227,1.0164126157760602,-0.1451232248838929,0.28125,0.4090909090909091,0.042071197411003236,,,,,,,,,0.05571847507331378
v3_saved,2024,0,341,32,1.09549008307409,2.0128477330765624,0.6804344908907467,0.14151234306095695,0.3125,0.4,0.04854368932038835,0.08423332698336651,0.00943208991172717,0.7874190938511327,0.65625,0.3387096774193548,0.13268608414239483,62.0,,
v3_refit,2024,0,341,32,1.1043105720738007,2.049530570178821,0.6705054484771766,0.14350316856462997,0.3125,0.4,0.04854368932038835,0.08661318914739889,-0.018554636655409684,0.7979874595469255,0.5625,0.33962264150943394,0.11326860841423948,53.0,0.6950146627565983,
hgb_fixed,2024,0,341,32,1.1178856298420337,1.6839390825347693,0.7952489106826803,0.3819329911109884,0.34375,0.4230769230769231,0.04854368932038835,0.10630926976163113,-0.2501767998738098,0.7793284789644013,0.75,0.24489795918367346,0.23948220064724918,98.0,0.6041055718475073,
v4r,2024,60,342,31,1.1216106036669602,1.8088746266041138,0.7407769569737028,0.1619341827316369,0.25806451612903225,0.4,0.03858520900321544,0.08647764006308392,-0.04914123974054019,0.7383051550669018,0.45161290322580644,0.2641509433962264,0.12540192926045016,53.0,0.7397660818713451,
naive_previous_lab,2024,60,342,31,1.66988303995969,2.3363827361731047,1.25000023841858,-0.006725147453665046,0.1935483870967742,0.20689655172413793,0.07395498392282958,,,,,,,,,0.0
anchored_q21,2024,60,342,31,1.4481160279951597,2.629666206862719,0.9300955931345616,0.16126946950981266,0.3225806451612903,0.25,0.09646302250803858,,,,,,,,,0.0029239766081871343
