period,horizon,candidate,reference,n,mae_delta,mae_delta_95ci,mae_reference,brier_delta,brier_delta_95ci
2024,180,naive_previous_lab,v3_saved,339,0.30995567431241317,"[0.08301269983163787, 0.5687814137360704]",1.4372419726979175,,
2024,180,naive_previous_lab,v3_refit,339,0.25939306848356336,"[0.01872272236299027, 0.5215665950108448]",1.4878045785267673,,
2024,180,anchored_q21,v3_saved,339,0.1419087339196123,"[-0.016108677940033896, 0.2862762275203763]",1.4372419726979175,,
2024,180,anchored_q21,v3_refit,339,0.09134612809076245,"[-0.06195366748897635, 0.233429528894483]",1.4878045785267673,,
2024,180,anchored_q21,naive_previous_lab,339,-0.16804694039280088,"[-0.43495738357970504, 0.08002980832530382]",1.7471976470103305,,
2024,180,anchored_pak,v3_saved,339,0.06595923655482486,"[-0.09792469843868847, 0.22764244258193794]",1.4372419726979175,,
2024,180,anchored_pak,v3_refit,339,0.015396630725975009,"[-0.16077553898612845, 0.18283441761565494]",1.4878045785267673,,
2024,180,anchored_pak,naive_previous_lab,339,-0.24399643775758834,"[-0.49720179542062826, -0.05528955108058914]",1.7471976470103305,,
2024,180,v3_saved,v3_refit,339,-0.050562605828849846,"[-0.08372520823824481, -0.01874529856810487]",1.4878045785267673,-0.02485495232801095,"[-0.03546747014856844, -0.015538674188156026]"
2024,180,v3_saved,naive_previous_lab,339,-0.30995567431241317,"[-0.5687814137360705, -0.08301269983163836]",1.7471976470103305,,
2024,180,v3_refit,v3_saved,339,0.050562605828849846,"[0.01874529856810483, 0.0837252082382448]",1.4372419726979175,0.02485495232801095,"[0.015538674188156026, 0.035467470148568436]"
2024,180,v3_refit,naive_previous_lab,339,-0.25939306848356336,"[-0.5215665950108451, -0.018722722362990347]",1.7471976470103305,,
2024,180,hgb_fixed,v3_saved,339,-0.030921192230496858,"[-0.1401874469750943, 0.07048074642696539]",1.4372419726979175,0.03974533072622335,"[0.021818837333512954, 0.05963825548399916]"
2024,180,hgb_fixed,v3_refit,339,-0.08148379805934669,"[-0.20872804431734882, 0.030918974048400105]",1.4878045785267673,0.014890378398212396,"[-0.007512653485386081, 0.037358294674983965]"
2024,180,hgb_fixed,naive_previous_lab,339,-0.34087686654291005,"[-0.5810352365719047, -0.14116265201896983]",1.7471976470103305,,
2025,0,v4r,v3_saved,407,-0.00608605667179842,"[-0.05193637849904454, 0.047380149331397635]",1.0741715862751564,0.005071539814617157,"[-0.003076166371676273, 0.012848398471262686]"
2025,0,v4r,v3_refit,407,-0.026219043951153227,"[-0.0817029671047133, 0.03717531078788529]",1.094304573554511,0.004062543650546713,"[-0.00561410565208549, 0.012903224971943215]"
2025,0,v4r,naive_previous_lab,407,-0.6169266920259042,"[-0.9025177023147491, -0.34644934568005586]",1.6850122216292622,,
2025,0,naive_previous_lab,v3_saved,407,0.6108406353541058,"[0.3775920776121213, 0.8701871375223876]",1.0741715862751564,,
