month,horizon,cost_ratio,policy,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025-02,0,20,logistic_empirical,29,8,6,12,2,9,0.75,0.3333333333333333,0.5714285714285714,0.6206896551724138,52.0,179.31034482758622
2025-03,0,20,logistic_empirical,33,12,9,15,3,6,0.75,0.375,0.7142857142857143,0.7272727272727273,75.0,227.27272727272728
2025-04,0,20,logistic_empirical,31,5,5,11,0,15,1.0,0.3125,0.4230769230769231,0.5161290322580645,11.0,35.483870967741936
2025-05,0,20,logistic_empirical,34,4,4,19,0,11,1.0,0.17391304347826086,0.6333333333333333,0.6764705882352942,19.0,55.88235294117647
2025-06,0,20,logistic_empirical,32,2,1,15,1,15,0.5,0.0625,0.5,0.5,35.0,109.375
2025-07,0,20,logistic_empirical,33,1,1,24,0,8,1.0,0.04,0.75,0.7575757575757576,24.0,72.72727272727273
2025-08,0,20,logistic_empirical,31,5,4,7,1,19,0.8,0.36363636363636365,0.2692307692307692,0.3548387096774194,27.0,87.09677419354838
2025-09,0,20,logistic_empirical,32,7,5,21,2,4,0.7142857142857143,0.19230769230769232,0.84,0.8125,61.0,190.625
2025-10,0,20,logistic_empirical,44,13,13,22,0,9,1.0,0.37142857142857144,0.7096774193548387,0.7954545454545454,22.0,50.0
2025-11,0,20,logistic_empirical,41,9,9,27,0,5,1.0,0.25,0.84375,0.8780487804878049,27.0,65.85365853658537
2025-12,0,20,logistic_empirical,36,5,4,16,1,15,0.8,0.2,0.5161290322580645,0.5555555555555556,36.0,100.0
2025-01,0,20,logistic_bayes,31,1,1,7,0,23,1.0,0.125,0.23333333333333334,0.25806451612903225,7.0,22.58064516129032
2025-02,0,20,logistic_bayes,29,8,7,17,1,4,0.875,0.2916666666666667,0.8095238095238095,0.8275862068965517,37.0,127.58620689655173
2025-03,0,20,logistic_bayes,33,12,10,20,2,1,0.8333333333333334,0.3333333333333333,0.9523809523809523,0.9090909090909091,60.0,181.8181818181818
2025-04,0,20,logistic_bayes,31,5,5,16,0,10,1.0,0.23809523809523808,0.6153846153846154,0.6774193548387096,16.0,51.61290322580645
2025-05,0,20,logistic_bayes,34,4,4,27,0,3,1.0,0.12903225806451613,0.9,0.9117647058823529,27.0,79.41176470588235
2025-06,0,20,logistic_bayes,32,2,1,28,1,2,0.5,0.034482758620689655,0.9333333333333333,0.90625,48.0,150.0
2025-07,0,20,logistic_bayes,33,1,1,30,0,2,1.0,0.03225806451612903,0.9375,0.9393939393939394,30.0,90.9090909090909
2025-08,0,20,logistic_bayes,31,5,4,17,1,9,0.8,0.19047619047619047,0.6538461538461539,0.6774193548387096,37.0,119.35483870967742
2025-09,0,20,logistic_bayes,32,7,6,24,1,1,0.8571428571428571,0.2,0.96,0.9375,44.0,137.5
2025-10,0,20,logistic_bayes,44,13,13,27,0,4,1.0,0.325,0.8709677419354839,0.9090909090909091,27.0,61.36363636363637
