year,horizon,cost_ratio,policy,threshold,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025,0,1,logistic_empirical,0.43547196681750705,407,72,10,8,62,327,0.1388888888888889,0.5555555555555556,0.023880597014925373,0.044226044226044224,70.0,17.1990171990172
2025,0,1,logistic_bayes,0.5,407,72,8,5,64,330,0.1111111111111111,0.6153846153846154,0.014925373134328358,0.03194103194103194,69.0,16.953316953316953
2025,0,1,logistic_fixed_030,0.3,407,72,19,21,53,314,0.2638888888888889,0.475,0.0626865671641791,0.09828009828009827,74.0,18.181818181818183
2025,0,1,residual_bayes,0.5,407,72,15,12,57,323,0.20833333333333334,0.5555555555555556,0.03582089552238806,0.06633906633906633,69.0,16.953316953316953
2025,0,1,always_alarm,0.0,407,72,72,335,0,0,1.0,0.1769041769041769,1.0,1.0,335.0,82.30958230958231
2025,0,1,never_alarm,2.0,407,72,0,0,72,335,0.0,,0.0,0.0,72.0,17.69041769041769
2025,0,2,logistic_empirical,0.2734948135175814,407,72,25,24,47,311,0.3472222222222222,0.5102040816326531,0.07164179104477612,0.12039312039312039,118.0,28.992628992628994
2025,0,2,logistic_bayes,0.3333333333333333,407,72,17,16,55,319,0.2361111111111111,0.5151515151515151,0.04776119402985075,0.08108108108108109,126.0,30.95823095823096
2025,0,2,logistic_fixed_030,0.3,407,72,19,21,53,314,0.2638888888888889,0.475,0.0626865671641791,0.09828009828009827,127.0,31.203931203931205
2025,0,2,residual_bayes,0.3333333333333333,407,72,31,27,41,308,0.4305555555555556,0.5344827586206896,0.08059701492537313,0.14250614250614252,109.0,26.78132678132678
2025,0,2,always_alarm,0.0,407,72,72,335,0,0,1.0,0.1769041769041769,1.0,1.0,335.0,82.30958230958231
2025,0,2,never_alarm,2.0,407,72,0,0,72,335,0.0,,0.0,0.0,144.0,35.38083538083538
2025,0,5,logistic_empirical,0.19287855341100044,407,72,47,70,25,265,0.6527777777777778,0.4017094017094017,0.208955223880597,0.28746928746928746,195.0,47.91154791154791
2025,0,5,logistic_bayes,0.16666666666666666,407,72,52,100,20,235,0.7222222222222222,0.34210526315789475,0.29850746268656714,0.37346437346437344,200.0,49.14004914004914
2025,0,5,logistic_fixed_030,0.3,407,72,19,21,53,314,0.2638888888888889,0.475,0.0626865671641791,0.09828009828009827,286.0,70.27027027027027
